Code,Guidance,Definition
UUID,Recommended,"A universally unique identifier assigned to the specimen, specimen fragment, or related Darwin Core occurrence record. UUIDs are 32-digit identifiers constructed according to the RFC 9562 standard; they may also be referred to as GUIDs. UUIDs should be persistent, preserved in institutional databases, and intended for long-term use. It is also permissible to format a UUID as a resolvable URL. Examples for `specimenId` entry: `7783cd80-2e3e-49cb-bb9b-95f1c7d2141f`, `https://data.huh.harvard.edu/7783cd80-2e3e-49cb-bb9b-95f1c7d2141f`"
BarcodeId,Recommended,"A specimen barcode number or identifier assigned by the specimen’s home institution to identify and track the physical specimen. Barcode identifiers should be stable, preserved in institutional databases, and intended for long-term use. They are expected to be the most frequently used identifier class because they can often be entered efficiently and accurately using a barcode scanner. Example for `specimenId` entry: `00679514`"
PersistentId,Accepted,"Any persistent, externally meaningful identifier that does not conform to the UUID standard. These identifiers should be preserved in institutional, aggregator, or repository databases and intended for long-term use. URI form is recommended to ensure uniqueness. This class may include GUIDs that are not UUIDs, Darwin Core `occurrenceID` values, ARKs, URNs, or GBIF identifiers when the GBIF occurrence record is the intended external linkage target. Examples for `specimenId` entry: `urn:catalog:MO:Tropicos:105059003`, `http://n2t.net/ark:/65665/3e637e7c9-8454-4785-98cb-3fed71df7654`, `B7C40E4A06465C9795AF9DF1B6BD342C.mc.31640B656ECDBCBE6579AD770ED363DB`, `5085584305`"
CatalogNumber,Accepted,"Any identifier apart from the specimen barcode used by the specimen’s home institution to catalog and locate the physical specimen, including internal reference numbers (IRN). Example for `specimenId` entry: `2032448`"
CollectorNameAndNumber,Accepted,"The concatenated collector name and number assigned to the specimen. Recommended format for `specimenId` entry is collector last name, or concatenated collector last names, with each name beginning with a capital letter, followed by capitalized first-name initials, an underscore, and the collector number or code. Examples for `specimenId` entry: `BouffordDE_123`, `RodriguezSmithE_1999-23`"
AccessionNumber,Accepted,Any identifier related to the accessioning of the physical specimen.
TransientId,Discouraged,An identifier that uniquely identifies a specimen only within a single spectral dataset. This identifier cannot be used to link specimen data with other datasets or databases.
LocalDatabaseId,Discouraged,An identifier used for the specimen within an institutional or personal database. This identifier may not be externally resolvable or intended for long-term persistence.
